Sample,Seq Id,Position,Reads (Cov),Reads (Cov),Score,Skew,Freq,Annotation,Gene,Product
,NZ_CP012005,"""131502=""",187 (0.790),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_22,NZ_CP012004,"""1390909=""",279 (1.280),35 (0.150),21/250,NT,11.2%,coding(432/549nt),ACX60_RS06485,protein CsuA
,NZ_CP012005,"""=132540""",274 (1.140),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_22,NZ_CP012004,"""2846783=""",0 (0.000),217 (1.020),94/244,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_22,NZ_CP012004,"""=2846790""",0 (0.000),233 (1.080),96/246,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_22,NZ_CP012004,"""=3150084""",25 (0.110),9 (0.050),8/216,NT,34.9%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",12 (0.060),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_23,NC_009083,"""11236=""",153 (0.040),3185 (0.840),170/218,NT,85.6%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",937 (0.220),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_23,NC_009083,"""=11251""",170 (0.040),1386 (0.370),155/218,NT,71.9%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",937 (0.220),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_23,NZ_CP012004,"""1389363=""",1 (0.000),262 (0.920),100/250,NT,63.4%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",302 (1.020),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_23,NZ_CP012004,"""=1389371""",10 (0.040),167 (0.590),67/248,NT,56.8%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",244 (0.830),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_23,NZ_CP012004,"""2846783=""",0 (0.000),318 (1.180),106/244,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_23,NZ_CP012004,"""=2846790""",0 (0.000),317 (1.170),100/246,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_23,NZ_CP012004,"""=3150084""",37 (0.130),7 (0.030),6/216,NT,20.0%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",24 (0.100),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_23,NZ_CP012004,"""3207171=""",405 (1.470),18 (0.060),17/250,NT,5.3%,coding(78/270nt),ACX60_RS15180,phosphocarrier protein HPr
,NZ_CP012005,"""131502=""",244 (0.830),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_23,NZ_CP012004,"""3394755=""",221 (0.800),18 (0.060),17/248,NT,6.7%,coding(1684/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""95905=""",281 (0.960),,,,,intergenic(22/71),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_23,NZ_CP012004,"""=3394764""",235 (0.850),13 (0.050),9/248,NT,5.2%,coding(1693/2295nt),ACX60_RS16050,phosphoenolpyruvateprotein phosphotransferase
,NZ_CP012005,"""=97083""",244 (0.830),,,,,intergenic(+17/13),ACX60_RS19365/ACX60_RS19370,IS4 family transposase/transcriptional regulator
breseq_24,NC_009083,"""11236=""",219 (0.040),4192 (0.840),184/220,NT,86.1%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",1160 (0.210),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_24,NC_009083,"""=11251""",215 (0.040),1846 (0.370),163/220,NT,73.3%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",1160 (0.210),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_24,NZ_CP012004,"""1389363=""",1 (0.000),236 (0.890),100/252,NT,63.2%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",274 (0.970),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_24,NZ_CP012004,"""=1389371""",5 (0.020),170 (0.640),78/250,NT,58.2%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",239 (0.850),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_24,NZ_CP012004,"""2846783=""",0 (0.000),279 (1.140),114/246,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_24,NZ_CP012004,"""=2846790""",0 (0.000),247 (1.000),98/248,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_25,NC_009083,"""11236=""",240 (0.040),4131 (0.670),192/218,NT,86.9%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",1034 (0.150),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_25,NC_009083,"""=11251""",246 (0.040),2392 (0.390),182/218,NT,79.3%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",1034 (0.150),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_25,NZ_CP012004,"""1389363=""",0 (0.000),271 (1.070),103/250,NT,68.9%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",245 (1.190),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_25,NZ_CP012004,"""=1389371""",8 (0.030),157 (0.630),73/248,NT,64.2%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",167 (0.820),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_25,NZ_CP012004,"""2846783=""",0 (0.000),324 (1.110),110/244,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_25,NZ_CP012004,"""=2846790""",0 (0.000),342 (1.160),106/246,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_25,NZ_CP012004,"""=3150084""",39 (0.130),13 (0.050),11/216,NT,33.0%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",19 (0.070),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_26,NC_009083,"""11236=""",192 (0.040),4070 (0.820),178/220,NT,85.8%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",1176 (0.210),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_26,NC_009083,"""=11251""",201 (0.040),1892 (0.380),168/220,NT,73.7%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",1176 (0.210),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_26,NZ_CP012004,"""1389363=""",1 (0.000),221 (0.870),98/252,NT,58.6%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",311 (1.140),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_26,NZ_CP012004,"""=1389371""",11 (0.050),155 (0.610),68/250,NT,57.0%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",223 (0.820),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_26,NZ_CP012004,"""2846783=""",2 (0.010),279 (1.200),106/246,NT,99.3%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_26,NZ_CP012004,"""=2846790""",0 (0.000),253 (1.080),98/248,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_26,NZ_CP012004,"""=3150084""",25 (0.110),12 (0.060),11/218,NT,38.3%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",17 (0.080),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_27,NC_009083,"""11236=""",305 (0.050),4293 (0.750),193/220,NT,85.5%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",1189 (0.190),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_27,NC_009083,"""=11251""",307 (0.050),2401 (0.420),174/220,NT,76.7%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",1189 (0.190),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_27,NZ_CP012004,"""1389363=""",3 (0.010),280 (1.020),104/252,NT,64.7%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",303 (1.200),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_27,NZ_CP012004,"""=1389371""",7 (0.020),188 (0.690),79/250,NT,61.3%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",230 (0.910),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_27,NZ_CP012004,"""2846783=""",2 (0.010),312 (1.090),113/246,NT,99.4%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_27,NZ_CP012004,"""=2846790""",0 (0.000),320 (1.110),109/248,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_28,NC_009083,"""11236=""",170 (0.050),2482 (0.710),161/218,NT,82.2%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",924 (0.240),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_28,NC_009083,"""=11251""",178 (0.050),1340 (0.380),157/218,NT,71.3%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",924 (0.240),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_28,NZ_CP012004,"""1389363=""",1 (0.000),277 (0.990),104/250,NT,70.3%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",233 (1.080),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_28,NZ_CP012004,"""=1389371""",11 (0.030),163 (0.590),74/248,NT,67.8%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",144 (0.670),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_28,NZ_CP012004,"""2846783=""",2 (0.010),387 (1.160),117/244,NT,99.5%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_28,NZ_CP012004,"""=2846790""",0 (0.000),416 (1.240),117/246,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_28,NZ_CP012004,"""=3150084""",46 (0.130),20 (0.070),17/216,NT,40.1%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",20 (0.070),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_29,NC_009083,"""11236=""",228 (0.040),3739 (0.750),184/220,NT,86.7%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",952 (0.170),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_29,NC_009083,"""=11251""",228 (0.040),1949 (0.390),179/220,NT,77.2%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",952 (0.170),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_29,NZ_CP012004,"""1389363=""",3 (0.010),307 (1.180),110/252,NT,69.1%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",271 (1.110),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_29,NZ_CP012004,"""=1389371""",5 (0.020),154 (0.590),72/250,NT,59.9%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",201 (0.830),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_29,NZ_CP012004,"""2846783=""",0 (0.000),318 (1.170),113/246,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_29,NZ_CP012004,"""=2846790""",0 (0.000),272 (0.990),105/248,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_29,NZ_CP012004,"""=3150084""",35 (0.130),11 (0.050),10/218,NT,30.4%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",20 (0.080),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_30,NC_009083,"""11236=""",223 (0.050),3643 (0.770),183/218,NT,84.5%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",1140 (0.220),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_30,NC_009083,"""=11251""",225 (0.050),1794 (0.380),174/218,NT,72.9%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",1140 (0.220),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_30,NZ_CP012004,"""1389363=""",2 (0.010),275 (0.970),103/250,NT,61.4%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",344 (1.110),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_30,NZ_CP012004,"""=1389371""",3 (0.010),164 (0.590),77/248,NT,54.0%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",276 (0.900),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_30,NZ_CP012004,"""2846783=""",2 (0.010),286 (1.150),104/244,NT,99.3%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_30,NZ_CP012004,"""=2846790""",0 (0.000),302 (1.200),97/246,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_31,NC_009083,"""11236=""",269 (0.040),5191 (0.900),200/220,NT,89.1%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",1031 (0.160),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_31,NC_009083,"""=11251""",287 (0.050),2395 (0.420),187/220,NT,78.9%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",1031 (0.160),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_31,NZ_CP012004,"""1389363=""",1 (0.000),261 (1.080),93/252,NT,68.1%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",243 (1.100),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_31,NZ_CP012004,"""=1389371""",9 (0.030),140 (0.580),69/250,NT,59.6%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",181 (0.830),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_31,NZ_CP012004,"""2846783=""",0 (0.000),302 (1.170),104/246,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_31,NZ_CP012004,"""=2846790""",1 (0.000),293 (1.120),96/248,NT,99.7%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_31,NZ_CP012004,"""=3150084""",32 (0.120),13 (0.060),12/218,NT,33.9%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
,NZ_CP012004,"""3150238=""",23 (0.100),,,,,pseudogene(171/225nt),ACX60_RS19275,hypothetical protein
breseq_31,NZ_CP012004,"""3207222=""",351 (1.330),41 (0.170),29/246,NT,14.2%,coding(27/270nt),ACX60_RS15180,phosphocarrier protein HPr
,NZ_CP012005,"""=97084""",151 (0.700),,,,,intergenic(+18/12),ACX60_RS19365/ACX60_RS19370,IS4 family transposase/transcriptional regulator
breseq_31,NZ_CP012004,"""=3207230""",350 (1.320),64 (0.260),49/252,NT,19.3%,coding(19/270nt),ACX60_RS15180,phosphocarrier protein HPr
,NZ_CP012005,"""95905=""",184 (0.840),,,,,intergenic(22/71),ACX60_RS18730/ACX60_RS19365,sulfonamideresistant dihydropteroate synthase Sul2/IS4 family transposase
breseq_32,NC_009083,"""11236=""",306 (0.050),4894 (0.760),195/220,NT,84.9%,intergenic(513/+840),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""5259=""",1473 (0.210),,,,,intergenic(+126/938),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_32,NC_009083,"""=11251""",312 (0.050),2463 (0.380),181/220,NT,73.8%,intergenic(528/+825),A1S_3469/A1S_3470,diaminopimelate decarboxylase/regulatory protein LysR
,NC_009084,"""=5242""",1473 (0.210),,,,,intergenic(+109/955),A1S_3474/A1S_3475,hypothetical protein/hypothetical protein
breseq_32,NZ_CP012004,"""1389363=""",2 (0.010),285 (1.110),102/252,NT,69.8%,intergenic(80/504),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""=132540""",245 (1.060),,,,,intergenic(+52/2),ACX60_RS18930/ACX60_RS18935,DDE transposase/hypothetical protein
breseq_32,NZ_CP012004,"""=1389371""",11 (0.040),179 (0.700),75/250,NT,63.3%,intergenic(88/496),ACX60_RS06475/ACX60_RS06480,TetR family transcriptional regulator/protein CsuA/B
,NZ_CP012005,"""131502=""",197 (0.860),,,,,coding(135/192nt),ACX60_RS18925,hypothetical protein
breseq_32,NZ_CP012004,"""2846783=""",0 (0.000),314 (1.130),107/246,NT,100%,intergenic(437/26),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""3612188=""",NA (NA),,,,,intergenic(3/55),ACX60_RS19320/ACX60_RS17040,heteromeric transposase endonuclease subunit TnsA/IS701 family transposase
breseq_32,NZ_CP012004,"""=2846790""",0 (0.000),301 (1.070),96/248,NT,100%,intergenic(444/19),ACX60_RS13510/ACX60_RS13515,anion permease/methionine synthase
,NZ_CP012004,"""=3613285""",NA (NA),,,,,coding(430/453nt),ACX60_RS17045,endonuclease
breseq_32,NZ_CP012004,"""=3150084""",39 (0.140),17 (0.070),13/218,NT,34.8%,pseudogene(28/921nt),ACX60_RS14915,hypothetical protein
